id,state,category,question,optionA,optionB,optionC,optionD,correctIndex,correctAnswer
NC-015,NC,cellPhone,"What phone use is permitted for adult drivers in North Carolina?","Handheld texting allowed","All activities permitted","Voice texting and GPS","No phone use allowed",2,C
NC-016,NC,cellPhone,"What are the cell phone restrictions for drivers under 18 in North Carolina?","Only texting is banned","Only handheld calls banned","Hands-free only","No phone but emergencies",3,D
NC-017,NC,cellPhone,"Who can drivers under 18 contact by phone during emergencies in North Carolina?","Parents or guardians","Anyone for emergencies","Only 911 calls","No calls permitted",0,A
NC-018,NC,cellPhone,"What devices must commercial drivers use for phone conversations in North Carolina?","Any device allowed","Hands-free only","No devices allowed","Handheld phones permitted",1,B
NC-019,NC,duiStateLaws,"What is the legal BAC limit for drivers age 21 and over in North Carolina?","0.05%","0.10%","0.08%","Zero tolerance",2,C
NC-020,NC,duiStateLaws,"What is the BAC limit for commercial drivers in North Carolina?","0.08%","0.02%","Zero tolerance","0.04%",3,D
NC-021,NC,duiStateLaws,"What is the alcohol tolerance level for drivers under 21 in North Carolina?","Detectable amount","0.02% limit","0.04% limit","Same as adult limit",0,A
NC-022,NC,duiStateLaws,"What happens if you refuse a chemical BAC test in North Carolina?","Warning only issued","12-month license revocation","No penalty until convicted","Three-month suspension period",1,B
NC-023,NC,duiStateLaws,"What does North Carolina's implied consent law require?","Permission to search vehicle","Consent to field tests only","BAC test when lawfully stopped","Waiver of attorney rights",2,C
NC-024,NC,duiStateLaws,"What device may be required for drivers with high BAC or multiple DUI convictions in North Carolina?","GPS monitoring device","Ankle monitor device","Dash camera device","Ignition interlock",3,D
NC-025,NC,duiStateLaws,"What is North Carolina's DWI sentencing system based on?","Tiered severity ranking system","Demerit accumulation system only","Flat penalties for all offenses","Judicial discretion only",0,A
NC-026,NC,duiStateLaws,"Can you refuse a field sobriety test without penalty in North Carolina?","No, same as chemical test","Yes, field tests are voluntary","Only if you request an attorney","Only during daytime",1,B
NC-027,NC,insurance,"What type of fault system does North Carolina follow for auto accidents?","No-fault system","Shared fault system","At-fault system","Hybrid system",2,C
NC-028,NC,insurance,"What coverage protects you if hit by an uninsured driver in North Carolina?","Collision coverage","Comprehensive coverage","Personal injury protection","Uninsured motorist",3,D
NC-029,NC,insurance,"What is North Carolina's contributory negligence rule for accident claims?","1% fault bars recovery from other","Fault is always split equally","Damages reduced by fault%age","No effect on claims filed",0,A
NC-030,NC,insurance,"What happens when your insurance is canceled in North Carolina?","Nothing until renewal","Insurer notifies DMV","You must notify DMV","Only affects registration",1,B
NC-031,NC,stateUnique,"When must you turn on headlights while driving in North Carolina?","Only at nighttime","Only in heavy rain","When wipers are on","Only in fog",2,C
NC-032,NC,stateUnique,"What must you do when approaching a stopped emergency vehicle on a multi-lane road in North Carolina?","Stop completely first","Flash your lights","Honk your horn loud","Move over or slow down",3,D
NC-033,NC,stateUnique,"When are motorcycle headlights required in North Carolina?","Always while operating","Only at nighttime hours","Only on highways","Only in bad weather",0,A
NC-034,NC,stateUnique,"When must you stop for a school bus with flashing red lights on a two-lane road in North Carolina?","Only if directly behind","From both directions","Only during school hours","Never if on opposite side",1,B
NC-035,NC,stateUnique,"On a divided four-lane highway, must opposite direction traffic stop for a school bus in North Carolina?","Yes, always stop","Only during morning hours","No, opposite may proceed","Only if median is narrow",2,C
NC-036,NC,stateUnique,"What lane restriction applies to heavy trucks over 26,000 pounds on highways with six or more lanes in North Carolina?","No highway use permitted","Right lane only","Middle lanes only","Left lane prohibited",3,D
NC-037,NC,stateUnique,"What vehicles does North Carolina's move over law apply to?","Emergency, tow, utility","Police vehicles only","Ambulances only here","Fire trucks only here",0,A
NC-038,NC,stateUnique,"What must you do when using windshield wipers intermittently in light mist in North Carolina?","Always turn on headlights","Not needed for intermittent","Use high beams only here","Use hazard lights now",1,B
NC-039,NC,stateUnique,"When can you make a right turn on red in North Carolina?","Never permitted at all","Only during daytime","After full stop if safe","Without stopping if clear",2,C
NC-040,NC,stateUnique,"What enforcement method can be used in school zones to detect speeding violations in North Carolina?","Radar guns only","Officer observation only","No speed enforcement","Speed cameras",3,D
ND-001,ND,gdlLicensing,"At what minimum age can you apply for a learner's permit in North Dakota?","14 years old","15 years old","16 years old","17 years old",0,A
ND-002,ND,gdlLicensing,"Who can supervise a learner's permit holder in North Dakota?","Any licensed driver over 16","Licensed adult 18+ w/ 3 yrs exp","Only certified driving instructors","Any family member with a license",1,B
ND-003,ND,gdlLicensing,"How long must a 14-year-old hold an instruction permit before applying for a restricted license in North Dakota?","6 months minimum","9 months minimum","12 months minimum","Until age 16",2,C
ND-004,ND,gdlLicensing,"How many hours of supervised driving are required for permit holders aged 14-15 in North Dakota?","30 hours","40 hours","60 hours","50 hours",3,D
ND-005,ND,gdlLicensing,"At what minimum age can a driver obtain a restricted license in North Dakota?","15 years old","14 and a half years old","16 years old","14 years old",0,A
ND-006,ND,gdlLicensing,"What are the unsupervised driving hours for a restricted license holder in North Dakota?","6 AM to 10 PM only times","5 AM-9 PM except work/school","No time restrictions at all","7 AM to 7 PM only times",1,B
ND-007,ND,gdlLicensing,"At what minimum age can you obtain an unrestricted driver's license in North Dakota?","15 years old","17 years old","16 years old","18 years old",2,C
ND-008,ND,gdlLicensing,"What is the cell phone restriction for drivers under 18 in North Dakota?","Texting only prohibited","Handheld use only prohibited","No restrictions at all","All cell phone use banned",3,D
ND-009,ND,gdlLicensing,"What vehicle restriction applies to restricted license holders in North Dakota?","Must drive family's vehicle","Any properly insured vehicle","Only vehicles with dual controls","Vehicles under certain weight only",0,A
ND-010,ND,gdlLicensing,"Where must the supervisor sit when supervising a learner's permit holder in North Dakota?","Anywhere in the vehicle","In the front seat","Either front or back seat","Only during highway driving",1,B
ND-011,ND,gdlLicensing,"How long must a 15-year-old hold an instruction permit in North Dakota?","3 months minimum period","12 months minimum period","Until age 16 or 6 mos min","9 months minimum period",2,C
ND-012,ND,gdlLicensing,"What driving conditions must be included in the supervised driving log for restricted license applicants in North Dakota?","Highway driving only is required","Daytime driving only is required","Urban driving only is required","Night, gravel, urban, rural, winter",3,D
ND-013,ND,cellPhone,"What does North Dakota law prohibit all drivers from doing with wireless devices?","Reading, writing, or sending texts","Making phone calls while driving","Using GPS navigation while driving","Playing music on device",0,A
ND-014,ND,cellPhone,"What is the cell phone law for drivers under 18 in North Dakota?","Texting only prohibited for minors","All devices banned incl. hands-free","Handheld use only prohibited law","No restrictions if licensed driver",1,B
ND-015,ND,cellPhone,"Can drivers use voice-to-text features while driving in North Dakota?","No, all texting is prohibited","Only for emergency use","Yes, voice-to-text permitted","Only drivers over 21",2,C
ND-016,ND,cellPhone,"What restriction applies to commercial motor vehicle drivers in North Dakota?","Complete cell phone ban law","Only speakerphone allowed use","No texting restriction at all","Cannot hold phone or press >1 btn",3,D
ND-017,ND,cellPhone,"Can drivers 21 and older talk on a handheld phone while driving in North Dakota?","Yes, handheld phones permitted","No, hands-free only law","Only in emergency situations","Only outside city limits use",0,A
ND-018,ND,cellPhone,"What does North Dakota's texting law say about accessing web pages while driving?","Permitted if using voice commands","Prohibited for all drivers","Allowed for navigation only","Only restricted for commercial drivers",1,B
ND-019,ND,duiStateLaws,"What is the BAC limit for drivers under 21 in North Dakota?","0.08%","0.04%","0.02%","Zero tolerance",2,C
ND-020,ND,duiStateLaws,"What is the BAC limit for commercial drivers in North Dakota?","0.08%","0.02%","0.06%","0.04%",3,D
ND-021,ND,duiStateLaws,"What does North Dakota's implied consent law mean?","Consent to chemical testing on roads","Permission to search vehicle fully","Consent to field sobriety only test","Waiver of attorney rights granted",0,A
ND-022,ND,duiStateLaws,"What is the license suspension period for a first-time chemical test refusal in North Dakota?","90 days","180 days","One year","Two years",1,B
ND-023,ND,duiStateLaws,"At what BAC level does North Dakota impose enhanced DUI penalties?","0.10% or higher","0.12% or higher","0.16% or higher","0.20% or higher",2,C
ND-024,ND,duiStateLaws,"When does a fourth DUI offense become a felony in North Dakota?","Within 5 years","At any time in lifetime","Within 10 years","Within 7 years",3,D
ND-025,ND,duiStateLaws,"What is the legal BAC limit for drivers 21 and older in North Dakota?","0.08%","0.10%","0.06%","0.05%",0,A
ND-026,ND,duiStateLaws,"What is the minimum charge for a first DUI offense with a minor passenger in North Dakota?","Class C misdemeanor","Class A misdemeanor","Infraction only","Class B misdemeanor",1,B
ND-027,ND,insurance,"What type of insurance system does North Dakota use?","At-fault system","Choice system","No-fault system","Hybrid system",2,C
ND-028,ND,insurance,"What does Personal Injury Protection (PIP) coverage provide in North Dakota?","Property damage only coverage","Liability coverage for others injured","Coverage for other drivers injured","Medical costs regardless of fault",3,D
ND-029,ND,insurance,"What does uninsured motorist coverage protect you from in North Dakota?","Losses from uninsured drivers","Your own vehicle damage","Rental car expenses only","Traffic violations and fines",0,A
ND-030,ND,insurance,"Which coverage types are mandatory in North Dakota?","Liability only coverage required","Liability, PIP, uninsured motorist","Comprehensive & collision only req","Liability & collision coverage req",1,B
ND-031,ND,stateUnique,"What vehicles are covered under North Dakota's expanded Move Over Law?","Emergency vehicles only covered","Police & fire vehicles only covered","Any vehicle w/ flashing hazard lights","Commercial vehicles only covered",2,C
ND-032,ND,stateUnique,"When must headlights be used on farm vehicles in North Dakota?","Always when operating on highways required","Only during the winter months period","Only when in city limits required","30 min after sunset to 30 min before sunrise",3,D
ND-033,ND,stateUnique,"What type of seat belt enforcement does North Dakota have?","Primary enforcement for seat belts","Secondary enforcement only policy","No enforcement at all in state","Warning only policy for drivers",0,A
ND-034,ND,stateUnique,"Who must wear seat belts in North Dakota?","Front seat passengers only required","All front & back seat occupants","Only drivers required by law","Only passengers under 18 required",1,B
ND-035,ND,stateUnique,"When must headlights be used during adverse weather in North Dakota?","Only during night fog conditions","Only during heavy snow conditions","Cannot see vehicles clearly at 1,000 ft","Only during thunderstorms weather",2,C
ND-036,ND,stateUnique,"How can law enforcement enforce speed limits during inclement weather in North Dakota?","Only at posted speed limits allowed","Cannot enforce in bad weather at all","Must give warnings only to drivers","Can enforce below posted limits for safety",3,D
ND-037,ND,stateUnique,"What must you do when approaching a school bus with flashing red lights in North Dakota?","Stop from any direction","Slow down but may proceed","Stop only if directly behind","Stop only on two-lane roads",0,A
ND-038,ND,stateUnique,"When is a right turn on red permitted in North Dakota?","Never permitted at all times","After complete stop when safe","Only during daytime hours only","Only outside city limits only",1,B
ND-039,ND,stateUnique,"What type of violation is disobeying the Move Over Law in North Dakota?","Warning only penalty","Criminal offense charge","Fine and points on record","License suspension penalty",2,C
ND-040,ND,stateUnique,"When must headlights be activated on regular vehicles in North Dakota?","One hour after sunset","Only when completely dark","30 minutes before sunrise","From sunset to sunrise",3,D
NE-001,NE,gdlLicensing,"At what minimum age can you apply for a Learner's Permit (LPD) in Nebraska?","15 years old","16 years old","14 years old","17 years old",0,A
NE-002,NE,gdlLicensing,"Who can supervise a driver with a Learner's Permit in Nebraska?","Any licensed driver over age 18","Licensed driver at least 21 years old","Any family member with a license","Only certified driving instructors",1,B
NE-003,NE,gdlLicensing,"How long must you hold a permit before applying for a Provisional Operator's Permit in Nebraska?","At least 3 months","At least 1 year","At least 6 months","At least 9 months",2,C
NE-004,NE,gdlLicensing,"What is the nighttime driving restriction for Provisional Operator's Permit holders in Nebraska?","10 PM to 6 AM except work/school","11 PM to 5 AM except work/school","9 PM to 6 AM except work/school","Midnight to 6 AM (except work/school)",3,D
NE-005,NE,gdlLicensing,"At what age can you apply for a School Learner's Permit in Nebraska?","14 years old","15 years old","16 years old","13 years old",0,A
NE-006,NE,gdlLicensing,"What wireless device restriction applies to Provisional Operator's Permit holders in Nebraska?","Can use hands-free devices only","Cannot use interactive wireless devices","Can text but not make phone calls","Only GPS devices are prohibited here",1,B
NE-007,NE,gdlLicensing,"When can a Provisional Operator's Permit holder obtain an unrestricted license in Nebraska?","Age 16 with driver education course","Immediately upon reaching age 18","Age 17 with 6 months violation-free","Age 19 regardless of any violations",2,C
NE-008,NE,gdlLicensing,"What prevents someone from receiving a Provisional Operator's Permit in Nebraska?","Incomplete driver education course","No supervised driving hours logged","Parent or guardian refuses consent","Three or more points in past 6 months",3,D
NE-009,NE,gdlLicensing,"How long do new Nebraska residents have to obtain a Nebraska driver's license?","30 days after moving","60 days after moving","90 days after moving","6 months after moving",0,A
NE-010,NE,gdlLicensing,"What seatbelt requirement applies to all passengers in vehicles operated by permit holders in Nebraska?","Front seat passengers must use only","All passengers must use protection","Only children under age 12 must","No special requirements apply here",1,B
NE-011,NE,gdlLicensing,"What is the validity period of a School Learner's Permit in Nebraska?","6 months and may be renewed","1 year and may be renewed","3 months and may be renewed","Valid until age 16",2,C
NE-012,NE,gdlLicensing,"What tests must be passed before receiving a School Learner's Permit in Nebraska?","Road skills test only","Written knowledge test only","Driver education course","Vision and written tests",3,D
NE-013,NE,cellPhone,"What type of enforcement does Nebraska use for texting while driving violations?","Primary enforcement for this violation","Community service enforcement system","Warning system enforcement only here","No enforcement currently active now",0,A
NE-014,NE,cellPhone,"What wireless communication activity is prohibited while driving in Nebraska?","Using Bluetooth devices while driving","Reading, typing, or sending messages","Using GPS navigation while driving","Making hands-free phone calls",1,B
NE-015,NE,cellPhone,"What restriction applies to commercial drivers and school bus operators regarding phones in Nebraska?","Can use phones with two-button operation only","No restrictions beyond regular drivers here","Cannot use handheld devices except emergencies","Can text but not make phone calls here",2,C
NE-016,NE,cellPhone,"When can drivers legally use handheld devices while driving in Nebraska?","When stopped at red lights","During highway driving only","For GPS navigation only","To contact emergency services",3,D
NE-017,NE,cellPhone,"Does Nebraska currently have a comprehensive hands-free driving law?","No, only texting is prohibited","Yes, all handheld use banned","Yes, for drivers under 21","Only for commercial vehicles",0,A
NE-018,NE,cellPhone,"What device usage is permitted for GPS navigation while driving in Nebraska?","Completely prohibited while driving","Voice-operated and mounted devices","Handheld devices only allowed","Only factory-installed systems",1,B
NE-019,NE,duiStateLaws,"What is the legal BAC limit for drivers under 21 in Nebraska?","0.08%","0.04%","0.02%","Zero tolerance",2,C
NE-020,NE,duiStateLaws,"What is the BAC limit for commercial drivers in Nebraska?","0.08%","0.02%","0.06%","0.04%",3,D
NE-021,NE,duiStateLaws,"What does Nebraska's implied consent law require of lawfully arrested drivers?","Submit to breath, blood, or urine test","Consent to full vehicle search required","Field sobriety tests only required","Immediate license surrender required",0,A
NE-022,NE,duiStateLaws,"What is the license revocation period for a first-time chemical test refusal in Nebraska?","90 days","One year","180 days","Two years",1,B
NE-023,NE,duiStateLaws,"At what BAC level is a DUI considered aggravated in Nebraska?","0.10%","0.12%","0.15%","0.20%",2,C
NE-024,NE,duiStateLaws,"How many years of prior DUI convictions does Nebraska count for sentencing purposes?","5 years","7 years","10 years","15 years",3,D
NE-025,NE,duiStateLaws,"What happens to drivers who fail a chemical test with no prior revocations in Nebraska?","180-day revocation","One-year suspension","90-day revocation","Warning only first time",0,A
NE-026,NE,duiStateLaws,"What additional requirement applies to all DUI offenders in Nebraska?","Community service hours are required","Complete alcohol assessment and treatment","Attend victim impact panel sessions","Install vehicle monitoring systems",1,B
NE-027,NE,insurance,"What type of insurance system does Nebraska follow for auto accidents?","No-fault system","Comparative negligence","Fault-based system","Choice system",2,C
NE-028,NE,insurance,"What is the penalty classification for driving without insurance in Nebraska?","Traffic infraction only","Civil violation","Felony offense","Class II misdemeanor",3,D
NE-029,NE,insurance,"What additional coverage is required in Nebraska beyond liability insurance?","Uninsured and underinsured coverage","Comprehensive vehicle coverage only","Collision damage coverage only","Personal injury protection only",0,A
NE-030,NE,insurance,"How can proof of insurance be displayed during a traffic stop in Nebraska?","Paper documents only allowed","Electronic image on phone or tablet","Insurance card must be mailed to officer","Verbal confirmation of policy number",1,B
NE-031,NE,stateUnique,"When must you turn on headlights while driving in Nebraska?","Only during nighttime driving hours","During rain or wet weather conditions","Sunset to sunrise or visibility under 500ft","Only in fog or mist weather conditions",2,C
NE-032,NE,stateUnique,"What does Nebraska's updated move over law require when approaching stopped vehicles?","Honk your horn loudly","Flash your headlights","Stop completely in lane","Slow down and move over",3,D
NE-033,NE,stateUnique,"Who does Nebraska's move over law apply to as of September 2025?","All stopped vehicles, pedestrians, users","Emergency vehicles only on roads here","Police vehicles only on highways here","Tow trucks and emergency vehicles only",0,A
NE-034,NE,stateUnique,"At what distance must you dim your headlights from high to low beam in Nebraska?","100 feet from oncoming vehicle","200 feet from oncoming vehicle","300 feet from oncoming vehicle","500 feet from oncoming vehicle",1,B
NE-035,NE,stateUnique,"What is the seatbelt requirement for passengers under 18 in Nebraska?","Front seat only required","Only on highways required","All must wear protection systems","Optional with parent permission",2,C
NE-036,NE,stateUnique,"When can drivers 21 or older ride motorcycles without a helmet in Nebraska?","Never, helmets always required","Only on rural roads allowed","Anytime with valid license","After completing safety course",3,D
NE-037,NE,stateUnique,"Is lane splitting authorized for motorcycles in Nebraska?","No, lane splitting not authorized","Yes, at speeds under 30 mph only","Yes, on highways only allowed","Yes, in stopped traffic only",0,A
NE-038,NE,stateUnique,"When is using hazard lights while driving permitted in Nebraska?","During heavy rain conditions only","Hazard lights while driving prohibited","In fog or low visibility conditions","When driving slowly on roads here",1,B
NE-039,NE,stateUnique,"What eye protection is required for motorcycle riders in Nebraska?","No eye protection required at all here","Prescription glasses only allowed here","Glasses, face shield, goggles, windshield","Helmet with built-in visor only here",2,C
NE-040,NE,stateUnique,"When are right turns on red allowed in Nebraska?","Never permitted at all here","Only during daytime hours only","Always without stopping first ever","After complete stop unless posted",3,D
NH-001,NH,gdlLicensing,"At what minimum age can you begin practicing driving in New Hampshire?","15½ years of age","16 years of age","15 years of age","14 years of age",0,A
NH-002,NH,gdlLicensing,"Who must supervise a 15½-year-old practicing driver in New Hampshire?","Any licensed driver over 18","Licensed driver at least 25 years old","Any family member with a license","Only certified driving instructors",1,B
NH-003,NH,gdlLicensing,"What is unique about New Hampshire's graduated licensing system?","Requires two written tests","Mandates driving school only","Does not issue learner's permits","Requires six-month waiting period",2,C
NH-004,NH,gdlLicensing,"How many supervised driving hours are required for drivers under 18 in New Hampshire?","30 total hours required","50 total hours required","60 total hours required","40 hours, 10 at night",3,D
NH-005,NH,gdlLicensing,"What are the nighttime driving restrictions for youth operators under 18 in New Hampshire?","Cannot drive between 1 AM and 4 AM","Cannot drive between midnight and 5 AM","Cannot drive between 11 PM and 6 AM","No nighttime restrictions",0,A
NH-006,NH,gdlLicensing,"What passenger restriction applies during the first six months of a youth operator license in New Hampshire?","No passengers under 21 years","One non-family under 25 only","Two passengers maximum total","No passengers at all allowed",1,B
NH-007,NH,gdlLicensing,"At what age do GDL restrictions no longer apply in New Hampshire?","17 years old","21 years old","18 years old","19 years old",2,C
NH-008,NH,gdlLicensing,"What must drivers under 18 complete before applying for a license in New Hampshire?","Road test requirement only","Online course requirement only","Defensive driving course required","Approved driver ed program",3,D
NH-009,NH,gdlLicensing,"What score is required to pass the written knowledge test in New Hampshire?","At least 80%","At least 75%","At least 85%","At least 90%",0,A
NH-010,NH,gdlLicensing,"How many days must you wait between retakes of the written test in New Hampshire?","3 days","10 days","7 days","14 days",1,B
NH-011,NH,gdlLicensing,"What documentation must drivers under 19 provide when applying for a permit in New Hampshire?","Birth certificate document only","Employment verification document","School enrollment or graduation proof","Parental consent form document",2,C
NH-012,NH,gdlLicensing,"What time limit applies to the written knowledge test in New Hampshire?","30 minutes","60 minutes","No time limit","40 minutes",3,D
NH-013,NH,cellPhone,"What does New Hampshire's hands-free law prohibit while driving?","Holding any electronic device","Texting while driving vehicles","Video recording while driving","Using any Bluetooth devices",0,A
NH-014,NH,cellPhone,"How can drivers legally answer phone calls under New Hampshire's hands-free law?","Brief handheld use is allowed","Single touch or voice command","Not allowed while driving at all","Two-button press maximum only",1,B
NH-015,NH,cellPhone,"What phone use is allowed for drivers under 18 in New Hampshire?","Hands-free calls only","Voice commands only","Emergency calls only","GPS navigation only",2,C
NH-016,NH,cellPhone,"What type of enforcement applies to New Hampshire's hands-free law?","Warning only for first offense","Secondary enforcement","Court appearance required","Primary enforcement",3,D
NH-017,NH,cellPhone,"When did New Hampshire's hands-free law take effect?","July 1, 2015","January 1, 2016","July 1, 2018","January 1, 2020",0,A
NH-018,NH,cellPhone,"Can you use voice-to-text features while driving in New Hampshire?","Never allowed while driving","Yes, if voice-operated only","Only on highways allowed","Only with passenger present",1,B
NH-019,NH,duiStateLaws,"What is the legal BAC limit for drivers under 21 in New Hampshire?","0.08%","0.04%","0.02%","Zero tolerance",2,C
NH-020,NH,duiStateLaws,"What is the BAC limit for commercial drivers in New Hampshire?","0.08%","0.02%","0.06%","0.04%",3,D
NH-021,NH,duiStateLaws,"What does implied consent mean for New Hampshire drivers?","Agreement to BAC testing if stopped","Permission to search vehicle fully","Consent to field sobriety tests only","Waiver of all legal representation",0,A
NH-022,NH,duiStateLaws,"What happens if you refuse a BAC test for the first time in New Hampshire?","No penalty until convicted","180-day license suspension","One-year license suspension","Mandatory jail time",1,B
NH-023,NH,duiStateLaws,"How long can an under-21 driver lose their license for refusing a BAC test in New Hampshire?","90 days suspension","One year suspension","Up to two years","Six months suspension",2,C
NH-024,NH,duiStateLaws,"Can prosecutors use your refusal to take a BAC test as evidence in court in New Hampshire?","Only in civil court cases","Never allowed as evidence","Only for second offense cases","Yes, refusal is admissible",3,D
NH-025,NH,duiStateLaws,"What device may be required for DUI offenders in New Hampshire?","Ignition interlock device","Ankle monitoring device","Breathalyzer watch device","Dashboard camera device",0,A
NH-026,NH,duiStateLaws,"What happens if a driver under 21 has a BAC between 0.02% and 0.08% in New Hampshire?","Warning only for the first offense","Same penalties as any standard DWI","Longer suspension than over-21 drivers","Suspension and standard DWI penalties",3,D
NH-027,NH,insurance,"What makes New Hampshire unique regarding auto insurance requirements?","Lowest insurance rates in nation","Highest minimum coverage limits","Insurance is not mandatory","Only liability coverage required",2,C
NH-028,NH,insurance,"What must uninsured drivers in New Hampshire prove after an accident?","Vehicle ownership documentation","Ability to cover damages","Employment status verification","Residency in state proof",1,B
NH-029,NH,insurance,"What type of insurance system does New Hampshire follow?","No-fault system","Hybrid system","At-fault system","Shared responsibility system",2,C
NH-030,NH,insurance,"What happens if you cannot prove financial responsibility after an accident in New Hampshire?","Fine and court appearance","License suspension","Vehicle impoundment","Mandatory insurance enrollment",1,B
NH-031,NH,stateUnique,"What must drivers do when approaching emergency vehicles in New Hampshire?","Move over or slow down","Stop completely immediately","Flash your headlights","Honk your horn twice",0,A
NH-032,NH,stateUnique,"When must you stop for a school bus in New Hampshire?","Only when directly behind bus","Only on two-lane roads","Only during regular school hours","All directions, not divided hwys",3,D
NH-033,NH,stateUnique,"What is the minimum safe distance from a stopped school bus in New Hampshire?","At least 10 feet","At least 15 feet","At least 20 feet","At least 25 feet",0,A
NH-034,NH,stateUnique,"Are right turns on red allowed in New Hampshire?","Never permitted anywhere","Yes, after stop if allowed","Only on highways allowed","Only during off-peak hours",1,B
NH-035,NH,stateUnique,"What is the helmet requirement for motorcycle riders 18 and older in New Hampshire?","Required on highways only","Required in all situations","No helmet required","Required for passengers only",2,C
NH-036,NH,stateUnique,"What is required for motorcycle riders under 18 in New Hampshire?","Parental supervision only","Daytime riding restriction","Reflective safety vest","Approved helmet required",3,D
NH-037,NH,stateUnique,"How far in advance must you signal before turning in New Hampshire?","At least 100 feet","At least 200 feet","At least 50 feet","At least 300 feet",0,A
NH-038,NH,stateUnique,"When should you dim your headlights in New Hampshire?","Only in residential areas","When meeting oncoming cars","Only during rainy weather","Never legally required",1,B
NH-039,NH,stateUnique,"What new rule applies to bicyclists at red lights in New Hampshire as of 2025?","Must wait for green light","Can turn right only allowed","May treat red as yield sign","May proceed after 2 minutes",2,C
NH-040,NH,stateUnique,"When has New Hampshire had a move over law for emergency vehicles?","Since 2010","Since 2015","Since 2020","Since 2004",3,D
NJ-001,NJ,gdlLicensing,"At what minimum age can you apply for a learner's permit in New Jersey?","16 years old","15 years old","17 years old","14 years old",0,A
NJ-002,NJ,gdlLicensing,"Who can supervise a learner's permit holder in New Jersey?","Any licensed driver over age 18","Licensed driver 21+ with 3 yrs exp","Only certified driving instructors","Any family member with a license",1,B
NJ-003,NJ,gdlLicensing,"How long must you hold a learner's permit before applying for a probationary license in New Jersey?","At least 3 months","At least 1 year","6 months minimum","At least 9 months",2,C
NJ-004,NJ,gdlLicensing,"What is the curfew for probationary license holders in New Jersey?","Midnight to 6 AM","10 PM to 5 AM","Midnight to 5 AM","11 PM to 5 AM",3,D
NJ-005,NJ,gdlLicensing,"What happens if a probationary license holder violates GDL restrictions in New Jersey?","Must restart the provisional period","License will be permanently revoked","Must restart from learner's permit","Criminal record will be created",0,A
NJ-006,NJ,gdlLicensing,"How many non-family passengers can a probationary driver have in New Jersey?","Two passengers maximum","One non-family passenger","Three passengers maximum","No passengers allowed",1,B
NJ-007,NJ,gdlLicensing,"Where must the supervising driver sit when accompanying a learner's permit holder in New Jersey?","Anywhere in the vehicle","Back seat is acceptable","Must occupy the front seat","Only required on highways",2,C
NJ-008,NJ,gdlLicensing,"What is required on license plates for permit and probationary drivers under 21 in New Jersey?","Special colored plates only","Nothing additional required","Student driver sign required","Reflectorized decals front/back",3,D
NJ-009,NJ,gdlLicensing,"How many hours of supervised practice driving are required for permits issued on or after February 1, 2025 in New Jersey?","50 hrs total, 10 at night","30 hours total required","100 hours total required","No specific requirement",0,A
NJ-010,NJ,gdlLicensing,"What exception allows probationary drivers to drive during curfew hours in New Jersey?","Social events only allowed","Work, school, religious, emergency","Any time with passengers here","No exceptions are allowed here",1,B
NJ-011,NJ,gdlLicensing,"How long must drivers under 21 hold a probationary license before upgrading in New Jersey?","6 months minimum","9 months minimum","At least 12 months","18 months minimum",2,C
NJ-012,NJ,gdlLicensing,"For how many years must a supervising driver have been licensed in New Jersey?","1 year minimum","2 years minimum","5 years minimum","At least 3 years",3,D
NJ-013,NJ,cellPhone,"What does New Jersey's hands-free law prohibit while driving?","Holding or using wireless device","Only texting messages sent here","Only video recording done here","Using Bluetooth devices here",0,A
NJ-014,NJ,cellPhone,"Can drivers over 21 use hands-free devices for phone calls while driving in New Jersey?","No, all phone use is banned","Yes, hands-free are allowed","Only on highways allowed","Only in emergencies allowed",1,B
NJ-015,NJ,cellPhone,"What phone use is allowed for probationary license holders in New Jersey?","Hands-free calls only","Voice-activated texting","None, all use prohibited","GPS navigation only allowed",2,C
NJ-016,NJ,cellPhone,"What type of enforcement applies to New Jersey's texting while driving ban?","Warning only for first offense","Secondary enforcement","No enforcement","Primary enforcement",3,D
NJ-017,NJ,cellPhone,"When can you legally use a handheld phone to call emergency services while driving in New Jersey?","To report emergencies or crimes","Only when fully stopped first","Never while vehicle is on","Only on secondary roads allowed",0,A
NJ-018,NJ,cellPhone,"What happens if a driver commits a third offense of using a handheld device while driving in New Jersey?","Warning issued only here","Points added, possible suspension","Community service requirement here","Insurance increase only here",1,B
NJ-019,NJ,duiStateLaws,"What is the legal BAC limit for drivers under 21 in New Jersey?","0.08%","0.04%","0.01%","Zero tolerance",2,C
NJ-020,NJ,duiStateLaws,"What is the BAC limit for commercial drivers in New Jersey?","0.08%","0.02%","0.06%","0.04%",3,D
NJ-021,NJ,duiStateLaws,"What does implied consent mean for New Jersey drivers?","Agreement to chemical testing","Permission to search vehicle","Consent to field sobriety only","Waiver of attorney rights provided",0,A
NJ-022,NJ,duiStateLaws,"What device is required after every DWI conviction in New Jersey?","Dashboard camera device","Ignition interlock device","GPS monitoring system","Breathalyzer attachment",1,B
NJ-023,NJ,duiStateLaws,"How long does a DWI conviction remain on your driving record in New Jersey?","5 years on record","10 years on record","Permanently on record","Until age 65 years",2,C
NJ-024,NJ,duiStateLaws,"What happens if you refuse a breath test in New Jersey?","No penalty imposed here","Warning for first refusal","Court appearance only here","Administrative penalties",3,D
